-8.93 (1.645622653579815) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'adaptive', 'max_iter': 1500, 'solver': 'adam'}
-18.22 (3.2939260610432206) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'adaptive', 'max_iter': 1500, 'solver': 'sgd'}
-1.45 (0.27402376789388616) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'adaptive', 'max_iter': 1500, 'solver': 'lbfgs'}
-10.85 (2.060829907601653) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'adam'}
-18.82 (5.526235816861068) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'sgd'}
0.79 (0.07226149067749271) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'lbfgs'}
-10.63 (1.4483548452102966) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'constant', 'max_iter': 1200, 'solver': 'adam'}
-17.54 (4.738736953673139) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'constant', 'max_iter': 1200, 'solver': 'sgd'}
0.78 (0.08971507743996258) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'constant', 'max_iter': 1200, 'solver': 'lbfgs'}
-10.14 (1.7843879806298495) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'constant', 'max_iter': 1500, 'solver': 'adam'}
-17.54 (5.760248691159239) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'constant', 'max_iter': 1500, 'solver': 'sgd'}
0.78 (0.06448829038629958) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'constant', 'max_iter': 1500, 'solver': 'lbfgs'}
-10.99 (1.7837499386772309) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'adam'}
-17.67 (4.007966349822117) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'sgd'}
0.78 (0.08278348408733371) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'lbfgs'}
-10.88 (1.4879048030989515) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'adaptive', 'max_iter': 1200, 'solver': 'adam'}
-21.14 (4.819580375279054) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'adaptive', 'max_iter': 1200, 'solver': 'sgd'}
0.79 (0.0624202255535492) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'adaptive', 'max_iter': 1200, 'solver': 'lbfgs'}
-10.69 (1.5666876773051115) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'adaptive', 'max_iter': 1500, 'solver': 'adam'}
-17.51 (5.4807837073456085) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'adaptive', 'max_iter': 1500, 'solver': 'sgd'}
0.77 (0.08266693235784181) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'adaptive', 'max_iter': 1500, 'solver': 'lbfgs'}
-10.05 (1.3992578051513889) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'adam'}
-18.62 (5.152245458798501) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'sgd'}
0.77 (0.07360367728286832) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'lbfgs'}
-9.47 (1.6312918019314593) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'max_iter': 1200, 'solver': 'adam'}
-18.05 (7.097167571830697) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'max_iter': 1200, 'solver': 'sgd'}
0.78 (0.06999238797611881) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'max_iter': 1200, 'solver': 'lbfgs'}
-8.9 (2.093381251039683) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'max_iter': 1500, 'solver': 'adam'}
-16.78 (3.1383324481532324) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'max_iter': 1500, 'solver': 'sgd'}
0.79 (0.0597647086798007) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'max_iter': 1500, 'solver': 'lbfgs'}
-9.22 (1.393731792518797) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'adam'}
-21.56 (6.051340936516477) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'sgd'}
0.78 (0.08674860276464905) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'lbfgs'}
-10.55 (1.8656503209639028) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 1200, 'solver': 'adam'}
-19.64 (6.842828829769263) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 1200, 'solver': 'sgd'}
0.79 (0.06836609430264967) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 1200, 'solver': 'lbfgs'}
-9.29 (1.7258135796704526) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 1500, 'solver': 'adam'}
-18.68 (3.4371284828585065) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 1500, 'solver': 'sgd'}
0.79 (0.06837546163301544) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 1500, 'solver': 'lbfgs'}
-9.56 (1.9670226552997523) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'adam'}
-15.12 (3.4692522820999496) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'sgd'}
0.78 (0.07692753789206266) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'lbfgs'}
-8.3 (1.3492077346868827) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'constant', 'max_iter': 1200, 'solver': 'adam'}
